Obs_ID,Paper_Num,Old Num,duplicated_in,Added by,Author 1,Author 2,Author 3,Year,Title,Journal,Biome,Country,Latitud,Longitud,study year,Habitat,Substrate,Depth (m),Family,Genera,Species (seagrass),Ontogeny,Treatment_Nutrients,Treatment_CO2,Treatment_Tª,Treatment_Light,Treatment_Epiphytes,Treatment_Herbivory,Treatment_Multiple stres,Temperature_Treatment,Treatment_designation,Herbivore (category),Herbivore(type),Species (herbivore),Type of defense,Study description,Herb_manipulation,Macro_Herbivory_presence,Herbivory_info,Herbivory_quantification_assigned,Herbivory_approach,Details,Env.exp.Approach,Water samples (num),site,Treatment.type_CO2,Treatment.type_N,Treatment.type_Temp,Treatment.type_HW.hours,Treatment.type_recovery,treatment.type_Light,Treatment.type_herbivory_removal_percent,Replicates/treatment,duration.days,season,Size (L),Size(m2),Salinity,Salinity_SE,salinity_SD,Tª, Tª_SE,Tª_SD,Total_Alkalinity_TA_(umol/kg SW),TA_SE,TA_SD,pH,pH_SE,pH_SD,Light (mol photon/m2 d),Light (umol photon/m2 s),Light_SE (umol photon/m2 s),DIC_(umol/kg),DIC_SE,DIC_SD,pCO2_(uatm),pCO2_SE,pCO2_STD,CO2_umol/kg,CO2_SE,CO2_STD,CO2(aq)_(umol),CO2(aq)_(STD,HCO3_(umol/kg),HCO3_SE,Total_C (umol/kg),TC_SD,Total_CO2 (mM),Total_CO2 STD,CO32-,CO32-_SE,CO32-_SD,omega_ar,omega_ar_SE,omega_ar_SD,omega_ca,omega_ca_SE,omega_ca_SD,Nutrients_NH4_mean,Nutrients_NH4_SE,Nutrients_NH4_units,Nutrients_P_mean,Nutrients_P_SE,Nutrients_P_units,Nutrients_NO3_mean,Nutrients_NO3_SE,Nutrients_NO3_units,NO_mean NO (mg/L),NO_units,SENO,N,P,K,Yield_Mean ,Yield_SD,Yield_n,Yield_SE,ETRmax_Mean ,ETRmax_SD,ETR_units,ETRmax_n,ETRmax_SE,Ik_Mean ,Ik_units,Ik_SD,Ik_n ,Ik_SE,Ic_Mean ,Ic_units,Ic_SD,Ic_n,Ic_SE,Pmax_mean,Pmax_unit,Pmax_std,P_max_n,Pmax_SE,alpha_Mean ,alpha_SD,alpha_n,alpha_SE,NPP_Mean,NPP_units,NPP_SD,NPP_n,NPP_SE,R_Mean ,R_units,R_SD,R_n,R_SE,R_Mean ,R_units,R_SD,R_n,R_SE,Rrhiz_Mean ,Rrhiz_units,Rrhiz_SD,Rrhiz_n,Rrhiz_SE,GPP_Mean ,GPP_units,GPP_SD,GPP_n,GPP_SE,Energetic surplus (Pg:R)_Mean ,Energetic surplus (Pg:R)_SD,Energetic surplus (Pg:R)_n,Energetic surplus (Pg:R)_SE,Chla_Mean ,Chla_units,Chla_SD,Chla_n,Chla_SE,Chlb_Mean ,Chlb_units,Chlb_SD,Chlb_n,Chlb_SE,AbovegroundBM_Mean ,AbovegroundBM_units,AbovegroundBM_SD,AbovegroundBM_n,AbovegroundBM_SE,AbovegroundBM_Mean ,AbovegroundBM_units,AbovegroundBM_SD,AbovegroundBM_n,AbovegroundBM_SE,BelowgroundBiomass_Mean ,BelowgroundBiomass_units,BelowgroundBiomass_SD,BelowgroundBiomass_n,BelowgroundBiomass_SE,A:B_Mean ,A:B_SD,A:B_n,A:B_SE,Total_Biomass_Mean ,Total_Biomass_units,Total_Biomass_SD,Total_Biomass_n,Total_Biomass_SE,shoot density(shoot/m2)_Mean ,shoot density(shoot/m2)_SD,shoot density(shoot/m2)_n,shoot density(shoot/m2)_SE,Plant cover(%)_Mean ,Plant cover(%)_SD,Plant cover(%)_n,Plant cover(%)_SE,Shoot recruitment_Mean ,Shoot recruitment_units,Shoot recruitment_SD,Shoot recruitment_n,Shoot recruitment_SE,Growth_plantpart_units,Growth_Mean ,Growth_SD,Growth_n,Growth_SE,Growth_Mean ,Growth_plantpart_units,Growth_SD,Growth_n,Growth_SE,Growth_Mean ,Growth_plantpart_units,Growth_SD,Growth_n,Growth_SE,Growth_Mean ,Growth_plantpart_units,Growth_SD,Growth_n,Growth_SE,Growth_Mean ,Growth_plantpart_units,Growth_SD,Growth_n,Growth_SE,Growth_Mean ,Growth_plantpart_units,Growth_SD,Growth_n,Growth_SE,Growth_Mean ,Growth_plantpart_units,Growth_SD,Growth_n,Growth_SE,Growth_Mean ,Growth_plantpart_units,Growth_SD,Growth_n,Growth_SE,Growth_Mean ,Growth_plantpart_units,Growth_SD,Growth_n,Growth_SE,Growth_Mean ,Growth_plantpart_units,Growth_SD,Growth_n,Growth_SE,Growth_Mean ,Growth_plantpart_units,Growth_SD,Growth_n,Growth_SE,Size_Mean,Size_plantpart_units,Size_SD,Size_n,Size_SE,Size_Mean,Size_plantpart_units,Size_SD,Size_n,Size_SE,Size_Mean,Size_plantpart_units,Size_SD,Size_n,Size_SE,Size_Mean,Size_plantpart_units,Size_SD,Size_n,Size_SE,Size_Mean,Size_plantpart_units,Size_SD,Size_n,Size_SE,Size_Mean,Size_plantpart_units,Size_SD,Size_n,Size_SE,Size_Mean,Size_plantpart_units,Size_SD,Size_n,Size_SE,Biomass_Mean ,Biomass_units,Biomass_SD,Biomass_n,Biomass_SE,Biomass_Mean ,Biomass_units,Biomass_SD,Biomass_n,Biomass_SE,Biomass_Mean ,Biomass_units,Biomass_SD,Biomass_n,Biomass_SE,CN_Mean ,CN_plantpart,CN_SD,CN_n,CN_SE,CN_Mean ,CN_plantpart,CN_SD,CN_n,CN_SE,N_Mean ,N_units_plantpart,N_SD,N_n,N_SE,N_Mean ,N_units_plantpart,N_SD,N_n,N_SE,CN_Mean ,CN_plantpart,CN_units,CN_n,CN_SE,15N_Mean ,15N_plantpart,15N_SD,15N_n,15N_SE,15N_Mean ,15N_plantpart,15N_SD,15N_n,15N_SE,13C_Mean ,13C_plantpart,13C_SD,13C_n,13C_SE,13C_Mean ,13C_plantpart,13C_SD,13C_n,13C_SE,NO3uptake_Mean ,NO3uptake_SD,NO3uptake_n,NO3uptake_SE,Starch_Mean ,Starch_units_plantparts,Starch_SD,Starch_n,Starch_SE,Starch_Mean ,Starch_units_plantparts,Starch_SD,Starch_n,Starch_SE,Starch_Mean ,Starch_units_plantparts,Starch_SD,Starch_n,Starch_SE,Sucrose_Mean ,Sucrose_units_plantparts,Sucrose_SD,Sucrose_n,Sucrose_SE,Sucrose_Mean ,Sucrose_units_plantparts,Sucrose_SD,Sucrose_n,Sucrose_SE,NSC_Mean ,NSC_units_plantparts,NSC_SD,NSC_n,NSC_SE,Field_Lab,notes,Other species present? Context,Epi_biomass_Mean ,Epi_biomass_units,Epi_biomass_SD,Epi_biomass_n,Epi_biomass_SE,Consumption_Mean,Consumption_units,Consumption_SD,Consumption_n,Consumption_SE,Exp. Approach Environment (obs/man) ,field/lab,Other species present? Context,Context notes,Epiphytes Scraped (y/n/NR),Epiphyte manipulation (y/n),Epiphyte notes,Epiphytes present during grazing
85,28,9,,GH,"Olsen, Y. S.","Sanchez-Camacho, M.","Marbá, N",2012,Mediterranean Seagrass Growth and Demography Responses to Experimental Warming,Estuarines and coasts,3,Spain,3ºE,39ºN,2008,subtidal,,,,Posidonia,P. oceanica,seedling,n,n,y,n,n,n,n,low,Treatment,,,,,,na,na,na,na,na,na,man,,Palma Bay,,,low,,,,,3,90,winter,6,,37.8,0.04,,26.8,0.07,,,,,,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1052687178,0.02396922285,3,0.01383863726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7177709964,mg/shoot d,0.1673358254,3,0.09661138384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,man,lab,yes,epiphytes allowed to grow on seagrass,no,no,epiphytes removed for some measurements,
86,28,9,,GH,"Olsen, Y. S.","Sanchez-Camacho, M.","Marbá, N",2012,Mediterranean Seagrass Growth and Demography Responses to Experimental Warming,Estuarines and coasts,3,Spain,3ºE,39ºN,2008,subtidal,,,,Posidonia,P. oceanica,seedling,n,n,y,n,n,n,n,intermediate,Treatment,,,,,,na,na,na,na,na,na,man,,Palma Bay,,,intermediate,,,,,3,90,winter,6,,37.8,0.04,,28.53,0.09,,,,,,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09407104186,0.05182658299,3,0.02992209164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3488709035,mg/shoot d,0.147094478,3,0.08492503649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,man,lab,yes,epiphytes allowed to grow on seagrass,no,no,epiphytes removed for some measurements,
87,28,9,,GH,"Olsen, Y. S.","Sanchez-Camacho, M.","Marbá, N",2012,Mediterranean Seagrass Growth and Demography Responses to Experimental Warming,Estuarines and coasts,3,Spain,3ºE,39ºN,2008,subtidal,,,,Posidonia,P. oceanica,seedling,n,n,y,n,n,n,n,high,Treatment,,,,,,na,na,na,na,na,na,man,,Palma Bay,,,high,,,,,3,90,winter,6,,37.8,0.04,,28.9,0.08,,,,,,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0715700515,0.02017257114,3,0.01164663938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3492530184,mg/shoot d,0.08444006219,3,0.04875149264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,man,lab,yes,epiphytes allowed to grow on seagrass,no,no,epiphytes removed for some measurements,
88,28,9,,GH,"Olsen, Y. S.","Sanchez-Camacho, M.","Marbá, N",2012,Mediterranean Seagrass Growth and Demography Responses to Experimental Warming,Estuarines and coasts,3,Spain,3ºE,39ºN,2008,subtidal,,,,Posidonia,P. oceanica,seedling,n,n,y,n,n,n,n,very high,Treatment,,,,,,na,na,na,na,na,na,man,,Palma Bay,,,very high,,,,,3,90,winter,6,,37.8,0.04,,29.88,0.09,,,,,,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06156080813,0.01619294826,3,0.009349003037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3193525275,mg/shoot d,0.0729681269,3,0.04212816771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,man,lab,yes,epiphytes allowed to grow on seagrass,no,no,epiphytes removed for some measurements,
89,28,9,,GH,"Olsen, Y. S.","Sanchez-Camacho, M.","Marbá, N",2012,Mediterranean Seagrass Growth and Demography Responses to Experimental Warming,Estuarines and coasts,3,Spain,3ºE,39ºN,2008,subtidal,,,,Posidonia,P. oceanica,seedling,n,n,y,n,n,n,n,extreme,Treatment,,,,,,na,na,na,na,na,na,man,,Palma Bay,,,extreme,,,,,3,90,winter,6,,37.8,0.04,,32.17,0.12,,,,,,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0903208768,0.03201995419,3,0.01848672917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4434761842,mg/shoot d,0.190279696,3,0.1098580337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,man,lab,yes,epiphytes allowed to grow on seagrass,no,no,epiphytes removed for some measurements,
90,28,9,,GH,"Olsen, Y. S.","Sanchez-Camacho, M.","Marbá, N",2012,Mediterranean Seagrass Growth and Demography Responses to Experimental Warming,Estuarines and coasts,3,Spain,3ºE,39ºN,2009,subtidal,,,,Posidonia,P. oceanica,Adult,n,n,y,n,n,n,n,lowest,Control,,,,,,na,na,na,na,na,na,man,,Palma Bay,,,lowest,,,,,3,90,summer,6,,37.8,0.04,,26.01,0.04,,,,,,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1362207844,0.02415219402,3,0.01394427572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5795409314,mg/shoot d,0.2239233524,3,0.1292822078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1310780106,Leaf mass(g/shoot),0.03502581916,3,0.02022216612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,man,lab,yes,epiphytes allowed to grow on seagrass,no,no,epiphytes removed for some measurements,
91,28,9,,GH,"Olsen, Y. S.","Sanchez-Camacho, M.","Marbá, N",2012,Mediterranean Seagrass Growth and Demography Responses to Experimental Warming,Estuarines and coasts,3,Spain,3ºE,39ºN,2009,subtidal,,,,Posidonia,P. oceanica,Adult,n,n,y,n,n,n,n,low,Treatment,,,,,,na,na,na,na,na,na,man,,Palma Bay,,,low,,,,,3,90,summer,6,,37.8,0.04,,27.05,0.05,,,,,,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1860029051,0.0440503084,3,0.02543245741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6590526735,mg/shoot d,0.4700184259,3,0.2713652647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1597323908,Leaf mass(g/shoot),0.05037421182,3,0.02908356476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,man,lab,yes,epiphytes allowed to grow on seagrass,no,no,epiphytes removed for some measurements,
92,28,9,,GH,"Olsen, Y. S.","Sanchez-Camacho, M.","Marbá, N",2012,Mediterranean Seagrass Growth and Demography Responses to Experimental Warming,Estuarines and coasts,3,Spain,3ºE,39ºN,2009,subtidal,,,,Posidonia,P. oceanica,Adult,n,n,y,n,n,n,n,intermediate,Treatment,,,,,,na,na,na,na,na,na,man,,Palma Bay,,,intermediate,,,,,3,90,summer,6,,37.8,0.04,,28.52,0.05,,,,,,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1835732207,0.008233702505,3,0.004753730358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6151731458,mg/shoot d,0.3064330408,3,0.1769191986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1721787427,Leaf mass(g/shoot),0.05050539467,3,0.02915930321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,man,lab,yes,epiphytes allowed to grow on seagrass,no,no,epiphytes removed for some measurements,
93,28,9,,GH,"Olsen, Y. S.","Sanchez-Camacho, M.","Marbá, N",2012,Mediterranean Seagrass Growth and Demography Responses to Experimental Warming,Estuarines and coasts,3,Spain,3ºE,39ºN,2009,subtidal,,,,Posidonia,P. oceanica,Adult,n,n,y,n,n,n,n,high,Treatment,,,,,,na,na,na,na,na,na,man,,Palma Bay,,,high,,,,,3,90,summer,6,,37.8,0.04,,30,0.07,,,,,,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1444869933,0.007959245755,3,0.004595272679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3846304896,mg/shoot d,0.1054535591,3,0.06088364071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1283009341,Leaf mass(g/shoot),0.04294051737,3,0.02479171926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,man,lab,yes,epiphytes allowed to grow on seagrass,no,no,epiphytes removed for some measurements,
94,28,9,,GH,"Olsen, Y. S.","Sanchez-Camacho, M.","Marbá, N",2012,Mediterranean Seagrass Growth and Demography Responses to Experimental Warming,Estuarines and coasts,3,Spain,3ºE,39ºN,2009,subtidal,,,,Posidonia,P. oceanica,Adult,n,n,y,n,n,n,n,very high,Treatment,,,,,,na,na,na,na,na,na,man,,Palma Bay,,,very high,,,,,3,90,summer,6,,37.8,0.04,,31.21,0.1,,,,,,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1761521194,0.04395882282,3,0.02537963819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5367122197,mg/shoot d,0.09243732478,3,0.05336871434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1612219137,Leaf mass(g/shoot),0.07005163832,3,0.04044433224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,man,lab,yes,epiphytes allowed to grow on seagrass,no,no,epiphytes removed for some measurements,
95,28,9,,GH,"Olsen, Y. S.","Sanchez-Camacho, M.","Marbá, N",2012,Mediterranean Seagrass Growth and Demography Responses to Experimental Warming,Estuarines and coasts,3,Spain,3ºE,39ºN,2009,subtidal,,,,Posidonia,P. oceanica,Adult,n,n,y,n,n,n,n,extreme,Treatment,,,,,,na,na,na,na,na,na,man,,Palma Bay,,,extreme,,,,,3,90,summer,6,,37.8,0.04,,31.84,0.13,,,,,,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2070777763,0.04377585165,3,0.02527399974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3797585246,mg/shoot d,0.08328183795,3,0.04808279156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1269881343,Leaf mass(g/shoot),0.02352545656,3,0.01358242868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,man,lab,yes,epiphytes allowed to grow on seagrass,no,no,epiphytes removed for some measurements,
96,28,9,,GH,"Olsen, Y. S.","Sanchez-Camacho, M.","Marbá, N",2012,Mediterranean Seagrass Growth and Demography Responses to Experimental Warming,Estuarines and coasts,3,Spain,3ºE,39ºN,2009,subtidal,,,,Cymodocea,C. nodosa,Adult,n,n,y,n,n,n,n,lowest,Control,,,,,,na,na,na,na,na,na,man,,Palma Bay,,,lowest,,,,,3,90,summer,6,,37.8,0.04,,26.01,0.04,,,,,,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01330751141,0.0110166961,3,0.006360492461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09007947853,Rhizome Growth (cm/d),0.01505356068,3,0.008691177311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1225700581,Leaf mass(g/shoot),0.08540003098,3,0.04930573088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,man,lab,yes,epiphytes allowed to grow on seagrass,no,no,epiphytes removed for some measurements,
97,28,9,,GH,"Olsen, Y. S.","Sanchez-Camacho, M.","Marbá, N",2012,Mediterranean Seagrass Growth and Demography Responses to Experimental Warming,Estuarines and coasts,3,Spain,3ºE,39ºN,2009,subtidal,,,,Cymodocea,C. nodosa,Adult,n,n,y,n,n,n,n,low,Treatment,,,,,,na,na,na,na,na,na,man,,Palma Bay,,,low,,,,,3,90,summer,6,,37.8,0.04,,27.05,0.05,,,,,,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02091298935,0.006905201864,3,0.003986720155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1846646463,Rhizome Growth (cm/d),0.06637431821,3,0.03832123049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1353446099,Leaf mass(g/shoot),0.01136917975,3,0.00656399899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,man,lab,yes,epiphytes allowed to grow on seagrass,no,no,epiphytes removed for some measurements,
98,28,9,,GH,"Olsen, Y. S.","Sanchez-Camacho, M.","Marbá, N",2012,Mediterranean Seagrass Growth and Demography Responses to Experimental Warming,Estuarines and coasts,3,Spain,3ºE,39ºN,2009,subtidal,,,,Cymodocea,C. nodosa,Adult,n,n,y,n,n,n,n,intermediate,Treatment,,,,,,na,na,na,na,na,na,man,,Palma Bay,,,intermediate,,,,,3,90,summer,6,,37.8,0.04,,28.52,0.05,,,,,,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01855305021,0.001619679549,3,0.0009351224236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1883698325,Rhizome Growth (cm/d),0.05884753787,3,0.03397564183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1880080788,Leaf mass(g/shoot),0.01972115411,3,0.01138601363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,man,lab,yes,epiphytes allowed to grow on seagrass,no,no,epiphytes removed for some measurements,
99,28,9,,GH,"Olsen, Y. S.","Sanchez-Camacho, M.","Marbá, N",2012,Mediterranean Seagrass Growth and Demography Responses to Experimental Warming,Estuarines and coasts,3,Spain,3ºE,39ºN,2009,subtidal,,,,Cymodocea,C. nodosa,Adult,n,n,y,n,n,n,n,high,Treatment,,,,,,na,na,na,na,na,na,man,,Palma Bay,,,high,,,,,3,90,summer,6,,37.8,0.04,,30,0.07,,,,,,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01973716973,0.003220191293,3,0.00185917831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1791754817,Rhizome Growth (cm/d),0.1329269023,3,0.07674538281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2566018682,Leaf mass(g/shoot),0.01171900067,3,0.00676596819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,man,lab,yes,epiphytes allowed to grow on seagrass,no,no,epiphytes removed for some measurements,
